Timestamp,Date,Weight
7/5/2011 11:08:26,7/5/2011,168.5
7/6/2011 9:21:32,7/6/2011,166.5
7/8/2011 13:31:31,7/8/2011,167
7/12/2011 6:23:39,7/12/2011,164.5
7/14/2011 7:31:08,7/14/2011,163
7/15/2011 6:09:34,7/15/2011,163.5
7/18/2011 6:23:16,7/18/2011,164
7/19/2011 6:01:13,7/19/2011,163
7/21/2011 6:42:39,7/21/2011,164
7/22/2011 7:04:20,7/22/2011,165
7/24/2011 8:27:53,7/24/2011,166
7/25/2011 8:14:30,7/25/2011,163.5
7/26/2011 7:31:39,7/26/2011,164
7/27/2011 7:11:22,7/27/2011,163
7/29/2011 7:36:32,7/29/2011,164
8/4/2011 6:35:30,8/4/2011,163.5
8/8/2011 6:38:31,8/8/2011,163
8/9/2011 6:53:01,8/9/2011,162
8/11/2011 7:05:40,8/11/2011,161.5
8/13/2011 7:02:47,8/13/2011,163
8/23/2011 6:32:48,8/23/2011,164.5
8/29/2011 12:04:48,8/29/2011,163.5
9/1/2011 6:34:44,9/1/2011,162.5
9/4/2011 7:32:48,9/4/2011,164
9/6/2011 6:19:36,9/6/2011,163
9/7/2011 6:26:10,9/7/2011,163.5
9/16/2011 20:36:45,,
9/16/2011 20:37:25,9/16/2011,164
9/20/2011 6:19:11,9/20/2011,164.5
9/22/2011 6:41:20,9/22/2011,165
9/24/2011 7:40:50,9/24/2011,162
9/26/2011 6:28:52,9/26/2011,163
10/3/2011 21:23:50,10-,
10/3/2011 21:24:34,10/3/2011,164.4
10/4/2011 6:38:08,10/4/2011,163.5
10/6/2011 6:28:55,10/6/2011,163
10/8/2011 7:23:35,10/8/2011,165
,10/13/2011,165
10/17/2011 6:28:11,10/17/2011,164.5
10/27/2011 6:48:37,10/27/2011,163.5
11/7/2011 6:23:28,11/7/2011,165.5
11/9/2011 6:04:16,11/8/2011,164
11/9/2011 6:06:51,11/9/2011,164.5
11/14/2011 6:18:34,11/14/2011,164
11/22/2011 7:26:22,11/22/2011,163
12/6/2011 6:40:52,12/6/2011,165.5
12/8/2011 6:15:16,12/8/2011,164
12/15/2011 5:55:38,12/15/2011,163.5
12/21/2011 6:08:49,12/21/2011,163
12/22/2011 8:06:05,12/22/2011,161
,,
1/5/2012 6:33:52,1/5/2012,165
1/7/2012 8:46:36,1/6/2012,165
1/8/2012 7:29:59,1/8/2012,165
1/10/2012 6:15:23,1/10/2012,166.5
3/13/2012 6:39:19,3/13/2012,164.5
9/8/2012 8:00:14,9/7/2012,165.5
9/12/2012 6:15:07,9/12/2012,164.5
9/20/2012 6:24:00,9/20/2012,163
9/23/2012 8:45:34,9/23/2012,165.4
1/14/2013 15:12:23,1/14/2013,173
1/16/2013 10:17:37,1/16/2013,172.5
1/19/2013 10:01:02,1/18/2023,171
1/20/2013 8:07:49,1/20/2013,171.5
1/21/2013 7:00:32,1/21/2014,172
1/22/2013 6:32:58,1/22/2013,172.5
1/23/2013 5:58:00,1/23/2013,173
1/31/2013 6:54:51,1/31/2013,172.5
2/1/2013 6:52:00,2/1/2013,173
2/4/2013 6:03:07,2/4/2013,174
2/6/2013 5:51:14,2/6/2013,173.5
2/7/2013 7:12:33,2/7/2013,172
2/8/2013 6:56:49,2/8/2013,172
2/11/2013 6:34:59,2/11/2013,173
2/12/2013 6:09:52,2/12/2013,173
2/14/2013 6:29:12,2/14/2013,173
2/19/2013 6:13:56,2/19/2013,174.5
2/20/2013 6:34:14,2/20/2013,174
2/21/2013 6:38:53,2/21/2013,174.5
2/22/2013 6:37:44,2/22/2013,172.5
2/23/2013 7:08:30,2:/23/2013,171.5
2/25/2013 6:04:21,2/25013,174
2/26/2013 6:14:28,2/26/2013,173
2/28/2013 6:10:17,2/28/2013,171.5
3/4/2013 5:57:42,3/4/2013,174
3/5/2013 6:12:22,3/5/2013,174
3/6/2013 6:28:58,3/6/2013,172
3/8/2013 6:48:25,3/8/2013,170.5
3/27/2013 6:23:44,3/27/2013,171
4/8/2013 6:09:19,4/8/2013,172
4/9/2013 6:15:34,4/9/2013,172.5
4/10/2013 6:19:57,4/10/2013,171.5
4/14/2013 7:42:39,4/14/2023,171.5
4/16/2013 6:47:07,4/16/2013,173.5
4/17/2013 6:59:39,4/17/2013,173
4/18/2013 6:21:28,4/18/2013,172
4/19/2013 6:59:00,4/19/2013,172.5
